name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol,caffeine_milli,vitamin_a,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b5,vitamin_b6,vitamin_b7_micro,vitamin_b9,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,vitamin_k_micro,manganese_milli,magnesium,potassium,calcium,copper_milli,zinc,sodium,iron,phosphorus,selenium,iodine,package_weight,serving_weight
"Abricot, au sirop, en conserve, égoutté",,,0.9,13.7,0.1,62,0.0,0.1,0.0,,,13.3,0.0,1.4,0.0,,,2e-05,0.0,0.00011,0.00011999999999999999,2e-05,,6.9e-06,0.0,0.0022,0.0,0.00045,,,0.004900000000000001,0.14,0.018,,0.0001,0.009699999999999999,0.0001,0.011,2.0000000000000002e-07,5e-07,,
"Abricot, avec édulcorant, en conserve, égoutté",,,0.9,8.2,0.1,40,0.0,0.1,0.0,,,6.1,0.0,1.4,0.0,,,2e-05,2e-05,0.00034,0.00016,5e-05,,3.2000000000000003e-06,0.0,0.0016,0.0,0.00074,,,0.0076,0.18,0.016,,0.0001,0.0,0.0002,0.02,8.000000000000001e-07,6e-07,,
"Abricot, cru",,,0.8,9.0,0.1,44,0.0,0.1,0.0,,,6.7,0.0,1.7,0.0,,,2e-05,2e-05,0.00038,0.00017999999999999998,5.9999999999999995e-05,,5.6e-06,0.0,0.0036,0.0,0.00065,,,0.008400000000000001,0.26,0.015,,0.0001,0.0,0.0002,0.022,7e-07,5e-07,,
"Abricot, cuit,  égoutté (sans adjonction de sucre)",,,1.0,9.0,0.2,45,0.0,0.1,0.0,,,6.7,0.0,1.7,0.0,,,2e-05,2e-05,0.00038,0.00017999999999999998,5e-05,,3.5e-06,0.0,0.0018,0.0,0.00082,,,0.008400000000000001,0.2,0.018,,0.0001,0.0,0.0002,0.022,9.000000000000001e-07,6e-07,,
"Abricot, sec",,,2.9,59.1,0.5,239,0.2,0.1,0.2,,,34.3,0.0,8.3,0.0,,,1e-05,4e-05,0.00269,0.00058,0.00015,,8.900000000000001e-06,0.0,0.0002,0.0,0.004,,,0.05,1.37,0.082,,0.0004,0.011,0.0014,0.11,2.2e-06,2.7e-06,,
Agar Agar,,,2.4,0.0,0.2,160,0.0,0.0,0.0,,,0.0,0.3,74.1,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.1,0.052,0.66,,0.0015,0.13,0.0045,0.034,0.0,0.0,,
"Agneau, côtelette, crue (Suisse)",,,20.2,0.0,10.9,179,5.2,4.0,0.9,,,0.0,0.2,0.0,0.072,,,0.00017999999999999998,5.9999999999999995e-05,0.0066,0.00057,0.00032,,6e-06,3.6099999999999997e-06,0.0,5.2e-06,0.0005,,,0.02,0.31,0.008400000000000001,,0.0021000000000000003,0.069,0.0015,0.18,7e-06,9.000000000000001e-07,,
"Agneau, filet, cru",,,20.4,0.0,4.5,122,1.7,1.4,0.4,,,0.0,0.2,0.0,0.066,,,0.00013000000000000002,0.00023,0.00651,0.00066,0.00017,,2.4e-05,2.2e-06,0.0,0.0,0.00019,,,0.027,0.28,0.012,,0.0032,0.068,0.0019,0.19,5.9e-06,7e-07,,
"Agneau, filet, cru (Australie, Nouvelle-Zélande)",,,21.8,0.0,3.3,117,1.3,1.0,0.3,,,0.0,0.1,0.0,0.072,,,0.00017999999999999998,5.9999999999999995e-05,0.0067,0.00092,0.00051,,6e-06,3.6099999999999997e-06,0.0,2.8999999999999998e-06,0.0005,,,0.023,0.33,0.0038,,0.0023,0.044,0.0019,0.2,8.7e-06,8.000000000000001e-07,,
"Agneau, filet, grillé ""à point"" (sans adjonction de graisse ni de sel)",,,25.8,0.0,4.8,147,1.8,1.5,0.4,,,0.0,0.2,0.0,0.088,,,0.0001,0.00025,0.00608,0.0007,0.00014000000000000001,,2.5600000000000002e-05,2.05e-06,0.0,0.0,0.0002,,,0.031,0.29,0.014,,0.0043,0.077,0.0024,0.22,7.9e-06,9.000000000000001e-07,,
