name,brand,barcode,proteins,carbohydrates,fats,energy,saturated_fats,monounsaturated_fats,polyunsaturated_fats,omega3,omega6,sugars,salt,dietary_fiber,cholesterol_milli,caffeine_milli,vitamin_a_micro,vitamin_b1_milli,vitamin_b2_milli,vitamin_b3_milli,vitamin_b5_milli,vitamin_b6_milli,vitamin_b7_micro,vitamin_b9_micro,vitamin_b12_micro,vitamin_c_milli,vitamin_d_micro,vitamin_e_milli,vitamin_k_micro,manganese_milli,magnesium_milli,potassium_milli,calcium_milli,copper_milli,zinc_milli,sodium_milli,iron_milli,phosphorus_milli,selenium_micro,iodine_micro,package_weight,serving_weight
"Acciuga sott'olio, sgocciolata",,,26.4,0.2,8.5,182,3.1,3.6,1.4,,,0.1,12.0,0,76,,,0.04,0.25,3.9,0.63,0.37,,16,20.9,0.5,1.7,1.16,,,230,250,290,,1.7,4970.0,2.7,280,8,30,,
Aceto,,,0.1,0.7,0.0,21,0,0,0,,,0.3,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,7.7,35,7,,0.2,7.7,0.2,12,nd,5,,
Aceto balsamico,,,0.7,25.8,0.6,128,0,0,0,,,19.1,0.1,0.5,0,,,0.02,0.01,0.1,0.07,1.71,,5.5,0,0.5,0.3,0,,,12,160,18,,0.1,27.0,1,24,20,20,,
Acqua potabile (valori medi in Svizzera),,,0.0,0.0,0.0,0,0,0,0,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,1,0,7,,0,1.0,0,0,0,0,,
"Acquavite 40 % vol (Vodka, Gin)",,,0.0,0.0,0.0,234,0,0,0,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,0,4,0,,0,3.0,0,4,nd,0,,
Acquavite di canna da zucchero (p.es. Rum),,,0.0,0.0,0.0,234,0,0,0,,,0,0.0,0,0,,,0.01,0,0,0,0,,0,0,0,0,0,,,0,2,0,,0.1,1.0,0.1,5,nd,0,,
"Acquavite di cereali, 40% vol (p.es. Whisky)",,,0.0,0.1,0.0,247,0,0,0,,,0.1,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,1,3,2,,0.1,1.0,0,5,nd,0,,
Acquavite di ciliegie (Kirsch),,,0.0,0.0,0.0,245,0,0,0,,,0,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,0,3,2,,0,0.0,0,0,nd,0,,
"Acquavite di vino (p.es. Cognac, brandy)",,,0.0,2.0,0.0,240,0,0,0,,,2,0.0,0,0,,,0,0,0,0,0,,0,0,0,0,0,,,1,2,0,,0,2.0,0,0,nd,0,,
Affettati (media),,,13.8,0.7,24.0,274,9.1,11.2,2.2,,,0.7,2.0,0,58,,,0.28,0.13,2.91,0.42,0.15,,1.8,0.91,26.6,0.5,0.21,,,12,120,8.1,,1.5,790.0,0.8,150,nd,0.9,,
Agar Agar,,,2.4,0.0,0.2,160,nd,nd,nd,,,nd,0.3,74.1,nd,,,nd,nd,nd,nd,nd,,nd,nd,nd,nd,nd,,,100,52,660,,1.5,130.0,4.5,34,nd,nd,,
"Aglio, crudo",,,6.4,16.3,0.5,107,0.1,0,0.3,,,1.6,0.0,5.8,0,,,0.2,0.11,0.7,0.36,1.24,,26.1,0,17,0,0.01,,,20,530,11,,0.7,9.0,1.7,130,2,1.4,,
"Agnello, carré, crudo (Australia, Nuova Zelanda)",,,20.3,0.0,8.3,156,3.9,2.8,0.6,,,0,0.2,0,68,,,0.18,0.06,6.6,0.57,0.61,,6,3.61,0,2.9,0.5,,,24,300,7.5,,2.2,63.0,1.8,180,7.2,0.9,,
